AVS Name,Category/Type,Current Permission Model,Specific Mechanism/Requirements,Notable Changes / Status Update (Last ~2 Months),Key Source(s),Amount managed (ETH)
RedStone Oracle AVS,Oracle,Permissioned,Explicit Whitelist (Phase 1),"Currently in Phase 1 requiring whitelist, contradicting earlier user query data. Plans for Phase 2 opening.",37,31.02K
mev-commit (Primev),MEV/Preconfirmation Network,Permissionless,Open Registration (CLI),Consistently open model confirmed.,36,1.14M
Chainbase Network AVS,Omnichain Data Network,Permissioned,Invited Operators Only (Mainnet),Mainnet remains permissioned (invite-only) despite open testnets.,64,590.92K
Bolt AVS,(Unknown),Implicit-TeamRun,Assumed Team Run,No public info on operator access; Assumed closed.,[User Query],1.22K
Skate AVS,State Channel Network?,Permissionless,Open Registration (Utilizes Othentic Stack),Launched open; Requires running specific operator roles/software.,65,1.10M
Blockless,Verifiable Computing Engine,Permissionless,Open Registration (Docker/CLI setup),Operator guide suggests open registration; No mention of whitelist/stake threshold.,29,
Drosera Network,Security Automation/Responder,Permissionless (w/ Opt-in),"Open Registration, Requires Opt-in per ""Trap""","Network access seems open, but participation requires opting into specific monitoring tasks (Traps).",67,
Espresso Sequencer,Decentralized Sequencer,Implicit-TeamRun,Assumed Team/Partner Run,Complex system; No public operator joining process found. Assumed closed currently.,67,
Ethos,Cosmos Security Coordination,Implicit-TeamRun,Assumed Team/Partner Managed,Focuses on providing security to Cosmos chains; Operator process for Ethos AVS itself unclear. Assumed closed.,67,
Heimdall Labs,On-chain Compliance,Implicit-TeamRun,Assumed Team/Partner Run,No public info on operator access; Assumed closed.,67,
Near Fast Finality Layer,Fast Finality,Permissioned,Likely Whitelist/Partner Managed (based on Soneium example),Soneium FFL (using AltLayer/Near tech) is permissioned; Assumed Near FFL AVS follows similar model initially.,67,70.59K
Silence Laboratories,MPC Authentication,Permissioned,Likely Partnership/Integration Required,Offers deployment via EigenLayer; No public operator joining guide found. Assumed closed/B2B.,67,
